equipment_id,equipment_type,manufacturer,model,purchase_year,fuel_capacity_liters,expected_engine_hours_per_day,expected_idle_hours_per_day,expected_fuel_per_engine_hour
EQX1154,Concrete_Mixer,McNeilus,Bridgemaster,2020,250,5.0,4.0,10
EQX1155,Grader,Caterpillar,G780,2015,350,7.0,5.0,14
EQX1156,Excavator,Caterpillar,330,2015,400,8.0,4.0,18
EQX1157,Compactor,Caterpillar,CS56B,2017,280,7.0,5.0,12
EQX1158,Concrete_Mixer,McNeilus,Bridgemaster,2022,250,5.0,4.0,10
EQX1159,Loader,Komatsu,950,2024,450,8.5,4.5,20
EQX1160,Compactor,Caterpillar,CS56B,2019,280,7.0,5.0,12
EQX1161,Bulldozer,Caterpillar,D9,2024,550,7.5,5.0,22
EQX1162,Drill_Rig,Atlas_Copco,SmartRoc,2018,400,8.5,4.0,16
EQX1163,Bulldozer,Caterpillar,D6,2019,550,7.5,5.0,22
EQX1164,Drill_Rig,Sandvik,DX800,2020,400,8.5,4.0,16
EQX1165,Generator,Caterpillar,XQ2000,2016,500,12.0,2.0,8
EQX1166,Generator,Caterpillar,C220D5,2021,500,12.0,2.0,8
EQX1167,Concrete_Mixer,McNeilus,S-Series,2020,250,5.0,4.0,10
EQX1168,Drill_Rig,Atlas_Copco,DX800,2021,400,8.5,4.0,16
EQX1169,Crane,Grove,TR250,2019,600,6.0,6.0,15
EQX1170,Compactor,Bomag,BW213,2021,280,7.0,5.0,12
EQX1171,Compactor,Bomag,BW213,2018,280,7.0,5.0,12
EQX1172,Bulldozer,Komatsu,D65,2018,550,7.5,5.0,22
EQX1173,Concrete_Mixer,Oshkosh,S-Series,2015,250,5.0,4.0,10
EQX1174,Concrete_Mixer,Oshkosh,Bridgemaster,2022,250,5.0,4.0,10
EQX1175,Grader,Volvo,G940,2020,350,7.0,5.0,14
EQX1176,Loader,JCB,L120,2019,450,8.5,4.5,20
EQX1177,Generator,Cummins,C220D5,2016,500,12.0,2.0,8
EQX1178,Grader,Volvo,G940,2023,350,7.0,5.0,14
EQX1179,Grader,Volvo,G780,2022,350,7.0,5.0,14
EQX1180,Concrete_Mixer,McNeilus,Bridgemaster,2019,250,5.0,4.0,10
EQX1181,Grader,Volvo,G780,2018,350,7.0,5.0,14
EQX1182,Loader,JCB,L120,2020,450,8.5,4.5,20
EQX1183,Concrete_Mixer,Oshkosh,S-Series,2023,250,5.0,4.0,10
EQX1184,Dump_Truck,Volvo,745,2022,900,9.0,3.5,30
EQX1185,Loader,Komatsu,WA380,2018,450,8.5,4.5,20
EQX1186,Bulldozer,Caterpillar,D9,2016,550,7.5,5.0,22
EQX1187,Generator,Cummins,C220D5,2018,500,12.0,2.0,8
EQX1188,Concrete_Mixer,Oshkosh,S-Series,2016,250,5.0,4.0,10
EQX1189,Grader,Volvo,140M,2020,350,7.0,5.0,14
EQX1190,Crane,Tadano,LTM1050,2023,600,6.0,6.0,15
EQX1191,Crane,Tadano,LTM1050,2015,600,6.0,6.0,15
EQX1192,Generator,Caterpillar,C220D5,2022,500,12.0,2.0,8
EQX1193,Bulldozer,Caterpillar,D9,2022,550,7.5,5.0,22
EQX1194,Concrete_Mixer,Oshkosh,S-Series,2017,250,5.0,4.0,10
EQX1195,Excavator,Komatsu,EC210,2016,400,8.0,4.0,18
EQX1196,Bulldozer,Komatsu,D65,2016,550,7.5,5.0,22
EQX1197,Compactor,Caterpillar,CS56B,2017,280,7.0,5.0,12
EQX1198,Compactor,Bomag,CS56B,2018,280,7.0,5.0,12
EQX1199,Bulldozer,Komatsu,D8,2023,550,7.5,5.0,22
EQX1200,Snow_Remover,Vammas,SR100,2019,300,6.0,3.0,12
EQX1201,Compactor,Bomag,BW213,2024,280,7.0,5.0,12
EQX1202,Compactor,Caterpillar,CS56B,2018,280,7.0,5.0,12
EQX1203,Drill_Rig,Sandvik,SmartRoc,2016,400,8.5,4.0,16
EQX1204,Crane,Liebherr,LTM1050,2023,600,6.0,6.0,15
EQX1205,Bulldozer,Caterpillar,D6,2021,550,7.5,5.0,22
EQX1206,Concrete_Mixer,Oshkosh,S-Series,2015,250,5.0,4.0,10
EQX1207,Grader,Volvo,G780,2019,350,7.0,5.0,14
EQX1208,Concrete_Mixer,McNeilus,Bridgemaster,2019,250,5.0,4.0,10
EQX1209,Drill_Rig,Sandvik,SmartRoc,2016,400,8.5,4.0,16
EQX1210,Generator,Cummins,C220D5,2019,500,12.0,2.0,8
EQX1211,Crane,Liebherr,LTM1050,2017,600,6.0,6.0,15
EQX1212,Loader,JCB,L120,2024,450,8.5,4.5,20
EQX1213,Loader,Komatsu,950,2022,450,8.5,4.5,20
EQX1214,Loader,JCB,WA380,2019,450,8.5,4.5,20
EQX1215,Generator,Caterpillar,XQ2000,2016,500,12.0,2.0,8
EQX1216,Compactor,Caterpillar,BW213,2020,280,7.0,5.0,12
EQX1217,Compactor,Bomag,CS56B,2016,280,7.0,5.0,12
EQX1218,Grader,Caterpillar,G780,2019,350,7.0,5.0,14
EQX1219,Compactor,Caterpillar,CS56B,2022,280,7.0,5.0,12
EQX1220,Generator,Caterpillar,XQ2000,2017,500,12.0,2.0,8
